table_schema,table_name,column_name,data_type,udt_name,reason
public,wst_asset_trace_snap,snap_edge_id,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,wst_asset_trace_snap,snap_distance_m,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,wst_asset_type_dict,asset_group,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wst_asset_type_dict,asset_group_name,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wst_asset_type_dict,group_sort,integer,int4,库内无同名字段注释可参考，无法安全推断
public,wst_asset_type_dict,group_description,text,text,库内无同名字段注释可参考，无法安全推断
public,wst_layer_river,next_down,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,wst_layer_river,river_class,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wst_layer_river,length_km,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,wst_layer_river,from_z,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,wst_layer_river,to_z,numeric,numeric,库内无同名字段注释可参考，无法安全推断
public,wst_trace_edge,from_node_id,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,wst_trace_edge,to_node_id,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,wst_trace_edge,direction_status,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wst_trace_topology_issue,issue_type,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wst_trace_topology_issue,issue_name,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wst_trace_topology_issue,issue_level,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wst_trace_topology_issue,object_type,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wst_trace_topology_issue,object_id,bigint,int8,库内无同名字段注释可参考，无法安全推断
public,wst_trace_topology_issue,object_name,character varying,varchar,库内无同名字段注释可参考，无法安全推断
public,wst_trace_topology_issue,issue_desc,text,text,库内无同名字段注释可参考，无法安全推断
