column_name,distinct_comment_count,involved_comments,involved_tables,risk_level,recommendation,note
ll,3,日流量（各小时流量的平均值） ||| 流量 ||| 月流量（各日流量的平均值）,"rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
ll_count,2,日流量有效数据计数（参与平均的小时数） ||| 月流量有效数据计数（参与平均的天数）,"rs_wastewater_day_records, rs_wastewater_month_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
longitude,2,经度 ||| WGS-84坐标系，如：116.681291,"stg_ycsjtysj_sxhyzssj_data_coverage_wharf_df, stg_ycssthjj_ltwsjgpt_t_sjzx_wry_jbxx_df, wm_panorama_layer, wst_asset, wst_trace_node",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m10_count,3,m10 当日有效数据计数 ||| m10 当月有效数据计数 ||| 记录数10,"rs_wastewater_day_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_meteorological_day_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m10_status,2,m10_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m10_value,8,【PS】石油类日平均值 / 【PQ】甲苯日平均值 ||| m10_value ||| 【PS】石油类月平均值 / 【PQ】甲苯月平均值 ||| 累计降雨量（mm） ||| 化学需氧量监测值 ||| 叶绿素a监测值 ||| 叶绿素a ||| 叶绿素a阈值(ug/L),"rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_hydrological_hour_records, wh_meteorological_day_records, wh_meteorological_hour_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m11_count,3,m11 当日有效数据计数 ||| m11 当月有效数据计数 ||| 记录数11,"rs_wastewater_day_records, rs_wastewater_month_records, wh_meteorological_day_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m11_status,2,m11_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m11_value,7,"【PS】氟化物日平均值 / 【PQ】二甲苯日平均值 ||| m11_value ||| 【PS】氟化物月平均值 / 【PQ】二甲苯月平均
 值 ||| 监测值 ||| 藻密度监测值 ||| 藻密度 ||| 藻密度阈值(cell/mL)","rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wh_meteorological_day_records, wh_meteorological_hour_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m12_count,3,m12 当日有效数据计数 ||| m12 当月有效数据计数 ||| 记录数12,"rs_wastewater_day_records, rs_wastewater_month_records, wh_meteorological_day_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m12_status,2,m12_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m12_value,7,"【PS】总铬日平均值 / 【PQ】碳氢化合物日平均
 值 ||| m12_value ||| 【PS】总铬月平均值 / 【PQ】碳氢化合物月平
 均值 ||| 监测值 ||| 化学需氧量监测值 ||| 化学需氧量 ||| 化学需氧量阈值(mg/L)","rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wh_meteorological_day_records, wh_meteorological_hour_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m13_count,3,m13 当日有效数据计数 ||| m13 当月有效数据计数 ||| 记录数13,"rs_wastewater_day_records, rs_wastewater_month_records, wh_meteorological_day_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m13_status,2,m13_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m13_value,7,【PS】氰化物日平均值 / 【PQ】甲烷日平均值 ||| m13_value ||| 【PS】氰化物月平均值 / 【PQ】甲烷月平均值 ||| 监测值 ||| 五日生化需氧量监测值 ||| 五日生化需氧量 ||| 五日生化需氧量阈值(mg/L),"rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wh_meteorological_day_records, wh_meteorological_hour_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m14_count,3,m14 当日有效数据计数 ||| m14 当月有效数据计数 ||| 记录数14,"rs_wastewater_day_records, rs_wastewater_month_records, wh_meteorological_day_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m14_status,2,m14_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m14_value,6,【PS】总锰日平均值 / 【PQ】氟化氢日平均值 ||| m14_value ||| 【PS】总锰月平均值 / 【PQ】氟化氢月平均值 ||| 监测值 ||| 铜 ||| 铜阈值(mg/L),"rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wh_meteorological_day_records, wh_meteorological_hour_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m15_count,3,m15 当日有效数据计数 ||| m15 当月有效数据计数 ||| 记录数15,"rs_wastewater_day_records, rs_wastewater_month_records, wh_meteorological_day_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m15_status,2,m15_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m15_value,6,"【PS】总银日平均值 / 【PQ】二氧化碳日平均值 ||| m15_value ||| 【PS】总银月平均值 / 【PQ】二氧化碳月平均
 值 ||| 监测值 ||| 锌 ||| 硒阈值(mg/L)","rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wh_meteorological_day_records, wh_meteorological_hour_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m16_count,3,m16 当日有效数据计数 ||| m16 当月有效数据计数 ||| 记录数16,"rs_wastewater_day_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m16_status,2,m16_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m16_value,6,"【PS】总铜日平均值 / 【PQ】1,3-二甲基苯日平
 均值 ||| m16_value ||| 【PS】总铜月平均值 / 【PQ】1,3-二甲基苯月
 平均值 ||| 监测值 ||| 氟化物 ||| 锌阈值(mg/L)","rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m17_count,3,m17 当日有效数据计数 ||| m17 当月有效数据计数 ||| 记录数17,"rs_wastewater_day_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m17_status,2,m17_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m17_value,6,"【PS】总镍日平均值 / 【PQ】乙烯基苯(苯乙烯)
 日平均值 ||| m17_value ||| 【PS】总镍月平均值 / 【PQ】乙烯基苯(苯乙烯
 )月平均值 ||| 监测值 ||| 硒 ||| 氟化物阈值(mg/L)","rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m18_count,3,m18 当日有效数据计数 ||| m18 当月有效数据计数 ||| 记录数18,"rs_wastewater_day_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m18_status,2,m18_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m18_value,6,【PS】总镉日平均值 / 【PQ】乙苯日平均值 ||| m18_value ||| 【PS】总镉月平均值 / 【PQ】乙苯月平均值 ||| 监测值 ||| 砷 ||| 砷阈值(mg/L),"rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m19_count,3,m19 当日有效数据计数 ||| m19 当月有效数据计数 ||| 记录数19,"rs_wastewater_day_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m19_status,2,m19_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m19_value,6,"【PS】总砷日平均值 / 【PQ】1,2-二甲基苯日平
 均值 ||| m19_value ||| 【PS】总砷月平均值 / 【PQ】1,2-二甲基苯月
 平均值 ||| 监测值 ||| 汞 ||| 汞阈值(mg/L)","rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m1_count,3,m1 当日有效数据计数 ||| m1 当月有效数据计数 ||| 记录数1,"rs_wastewater_day_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_meteorological_day_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m1_status,2,m1_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m1_value,8,"【PS】化学需氧量(COD)日平均值 / 【PQ】烟尘日
 平均值 ||| m1_value ||| 【PS】化学需氧量(COD)月平均值 / 【PQ】烟尘
 月平均值 ||| 水深（单位米） ||| 风速（单位m/s） ||| 风速（m/s） ||| 水温监测值 ||| 水温阈值(℃)","rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_hydrological_hour_records, wh_meteorological_day_records, wh_meteorological_hour_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m20_count,3,m20 当日有效数据计数 ||| m20 当月有效数据计数 ||| 记录数20,"rs_wastewater_day_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m20_status,2,m20_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m20_value,6,【PS】总铅日平均值 / 【PQ】氨(NH3)日平均值 ||| m20_value ||| 【PS】总铅月平均值 / 【PQ】氨(NH3)月平均值 ||| 监测值 ||| 镉 ||| 镉阈值(mg/L),"rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m21_count,3,m21 当日有效数据计数（仅排水口） ||| m21 当月有效数据计数（仅排水口） ||| 记录数21,"rs_wastewater_day_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m21_status,2,m21_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m21_value,6,【PS】浊度日平均值（仅排水口） ||| m21_value ||| 【PS】浊度月平均值（仅排水口） ||| 监测值 ||| 铬 ||| 铬阈值(mg/L),"rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m22_count,3,m22 当日有效数据计数（仅排水口） ||| m22 当月有效数据计数（仅排水口） ||| 记录数22,"rs_wastewater_day_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m22_status,2,m22_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m22_value,6,【PS】总锌日平均值（仅排水口） ||| m22_value ||| 【PS】总锌月平均值（仅排水口） ||| 监测值 ||| 铅 ||| 铅阈值(mg/L),"rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m23_value,3,监测值 ||| 氰化物 ||| 氰化物阈值(mg/L),"wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m24_value,3,监测值 ||| 挥发酚 ||| 挥发酚阈值(mg/L),"wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m25_value,3,监测值 ||| 石油类 ||| 石油类阈值(mg/L),"wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m26_value,3,监测值 ||| 阴离子表面活性剂 ||| 阴离子表面活性剂阈值(mg/L),"wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m27_value,3,监测值 ||| 硫化物 ||| 硫化物阈值(mg/L),"wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m28_value,3,监测值 ||| 水中油 ||| 水中油阈值(mg/L),"wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m29_value,4,监测值29 ||| 监测值 ||| 硝酸盐 ||| 硝酸盐阈值(mg/L),"wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m2_count,3,m2 当日有效数据计数 ||| m2 当月有效数据计数 ||| 记录数2,"rs_wastewater_day_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_meteorological_day_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m2_status,2,m2_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m2_value,7,"【PS】总氮(TN)日平均值 / 【PQ】二氧化硫日平均
 值 ||| m2_value ||| 【PS】总氮(TN)月平均值 / 【PQ】二氧化硫月平
 均值 ||| 流速（单位m/s） ||| 风向 ||| PH监测值 ||| pH阈值(无量纲)","rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_hydrological_hour_records, wh_meteorological_day_records, wh_meteorological_hour_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m30_value,4,监测值30 ||| 监测值 ||| 生物毒性 ||| 生物毒性阈值(%),"wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m31_value,4,监测值31 ||| 监测值 ||| 大肠杆菌 ||| 大肠杆菌阈值(cell/L),"wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m3_count,3,m3 当日有效数据计数 ||| m3 当月有效数据计数 ||| 记录数3,"rs_wastewater_day_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_meteorological_day_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m3_status,2,m3_status ||| 监测结果：0 正常、2 偏低,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m3_value,8,【PS】pH日平均值 / 【PQ】氮氧化物日平均值 ||| m3_value ||| 【PS】pH月平均值 / 【PQ】氮氧化物月平均值 ||| 流量（单位m3/s） ||| 气压（单位hPa） ||| 气压（hPa） ||| 溶解氧监测值 ||| 溶解氧阈值(mg/L),"rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_hydrological_hour_records, wh_meteorological_day_records, wh_meteorological_hour_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m4_count,3,m4 当日有效数据计数 ||| m4 当月有效数据计数 ||| 记录数4,"rs_wastewater_day_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_meteorological_day_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m4_status,2,m4_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m4_value,7,【PS】氨氮日平均值 / 【PQ】一氧化氮日平均值 ||| m4_value ||| 【PS】氨氮月平均值 / 【PQ】一氧化氮月平均值 ||| 气温（单位℃） ||| 气温（℃） ||| 浊度监测值 ||| 浊度阈值(NTU),"rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_hydrological_hour_records, wh_meteorological_day_records, wh_meteorological_hour_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m5_count,3,m5 当日有效数据计数 ||| m5 当月有效数据计数 ||| 记录数5,"rs_wastewater_day_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_meteorological_day_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m5_status,2,m5_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m5_value,7,【PS】水温日平均值 / 【PQ】二氧化氮日平均值 ||| m5_value ||| 【PS】水温月平均值 / 【PQ】二氧化氮月平均值 ||| 相对湿度（单位RH） ||| 相对湿度（%） ||| 电导率监测值 ||| 电导率阈值(μS/cm),"rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_hydrological_hour_records, wh_meteorological_day_records, wh_meteorological_hour_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m6_count,3,m6 当日有效数据计数 ||| m6 当月有效数据计数 ||| 记录数6,"rs_wastewater_day_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_meteorological_day_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m6_status,2,m6_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m6_value,7,【PS】总磷日平均值 / 【PQ】一氧化碳日平均值 ||| m6_value ||| 【PS】总磷月平均值 / 【PQ】一氧化碳月平均值 ||| 雨量（单位mm/m2） ||| 分钟降雨量（mm） ||| 氨氮监测值 ||| 氨氮阈值(mg/L),"rs_wastewater_day_records, rs_wastewater_hour_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_hydrological_hour_records, wh_meteorological_day_records, wh_meteorological_hour_records, wm_waterquality_day_records, wm_waterquality_hour_records, wm_waterquality_month_records, wm_waterquality_threshold, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m7_count,3,m7 当日有效数据计数 ||| m7 当月有效数据计数 ||| 记录数7,"rs_wastewater_day_records, rs_wastewater_month_records, wh_hydrological_day_records, wh_meteorological_day_records, wm_waterquality_day_records, wm_waterquality_month_records, wm_waterquality_year_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
m7_status,2,m7_status ||| 监测结果：0 正常、1 超标,"rs_wastewater_hour_records, wm_waterquality_hour_records",high,keep_original_comments_no_revision — train_only_with_table_context,不改写任何原始注释，不统一注释。训练时必须带 table_name/table_comment/schema context。
